File created on 2020-10-07T15:24:25.164921
#COOR
GSM


#START
2000 07 15 02 03 00 000       -4.37      -4.37       3.55    -727.60     -50.86      -0.41       6.01  261460.00
2000 07 15 02 04 00 000       -4.66      -4.46       3.63    -738.50     -47.91       0.70       6.66  335919.00
2000 07 15 02 05 00 000       -4.78      -4.17       3.75    -739.40     -48.21       0.74       6.88  369994.00
2000 07 15 02 06 00 000       -5.18      -4.22       3.22    -747.00     -41.60       0.79       6.23  276684.00
2000 07 15 02 07 00 000       -5.10      -4.69       2.52    -740.40     -41.91       2.93       6.14  211671.00
2000 07 15 02 08 00 000       -5.06      -4.57       2.53    -744.20     -51.98       1.60       6.55  302753.00
2000 07 15 02 09 00 000       -4.80      -5.12       1.80    -742.00     -49.95       2.24       7.01  460211.00
2000 07 15 02 10 00 000       -4.07      -5.56       1.24    -740.00     -61.96       4.53       6.90  383182.00
2000 07 15 02 11 00 000       -4.26      -5.37       1.10    -739.90     -50.52       2.84       6.28  325487.00
2000 07 15 02 12 00 000       -4.25      -5.19       1.59    -741.60     -45.14       2.31       6.16  259196.00
2000 07 15 02 13 00 000       -3.91      -4.36       3.91    -735.00     -38.35      -0.18       5.04  279454.00
2000 07 15 02 14 00 000       -4.19      -3.64       4.65    -738.50     -38.88      -0.73       5.35  347047.00
2000 07 15 02 15 00 000       -4.26      -4.69       3.95    -739.30     -37.49       1.13       5.54  330684.00
2000 07 15 02 16 00 000       -4.75      -4.16       4.13    -739.70     -36.06       3.78       6.04  354096.00
2000 07 15 02 17 00 000       -4.60      -4.20       4.73    -743.10     -30.11       6.51       6.19  369478.00
2000 07 15 02 18 00 000       -5.08      -3.65       4.63    -735.40     -28.46      -2.46       5.65  328330.00
2000 07 15 02 19 00 000       -5.26      -2.41       4.74    -747.40     -32.50      -1.04       4.72  402695.00
2000 07 15 02 20 00 000       -5.00      -2.75       4.79    -745.50     -32.47       1.49       4.57  383612.00
2000 07 15 02 21 00 000       -4.37      -3.09       4.72    -745.30     -32.45       1.71       4.56  381728.00
2000 07 15 02 22 00 000       -4.07      -3.64       4.64    -730.20     -33.22       0.47       5.32  375044.00
2000 07 15 02 23 00 000       -4.15      -3.37       4.68    -728.30     -32.93       4.08       4.21  356120.00
2000 07 15 02 24 00 000       -4.16      -3.33       4.65    -742.80     -28.68       2.97       5.40  262902.00
2000 07 15 02 25 00 000       -3.95      -3.20       4.90    -734.80     -31.65       5.46       6.97  375241.00
2000 07 15 02 26 00 000       -4.27      -3.32       4.75    -737.30     -28.40       4.29       6.30  244269.00
2000 07 15 02 27 00 000       -3.71      -3.93       4.98    -727.40     -28.97       3.04       5.69  282963.00
2000 07 15 02 28 00 000       -3.86      -3.63       5.06    -723.60     -27.37       9.98       6.92  200098.00
2000 07 15 02 29 00 000       -2.75      -3.76       5.60    -722.50     -28.40       9.36       5.72  218288.00
2000 07 15 02 30 00 000       -2.82      -3.37       5.95    -744.60     -31.09       1.12       5.23  285173.00
2000 07 15 02 31 00 000       -3.23      -4.18       5.21    -741.40     -37.01       0.90       5.30  429351.00
2000 07 15 02 32 00 000       -3.38      -4.46       4.94    -762.10     -44.65       3.79       4.07  242957.00
2000 07 15 02 33 00 000       -2.13      -3.81       5.69    -753.80     -33.05       8.32       4.84  439366.00
2000 07 15 02 34 00 000       -2.44      -3.88       5.20    -759.00     -32.96       4.93       5.68  228012.00
2000 07 15 02 35 00 000       -1.73      -4.72       4.72    -743.50     -32.27       4.61       5.30  258598.00
2000 07 15 02 36 00 000       -2.48      -3.04       5.62    -740.40     -34.47       4.77       5.87  339674.00
2000 07 15 02 37 00 000       -3.61      -4.09       4.33    -738.80     -43.71       4.28       6.62  233302.00
2000 07 15 02 38 00 000       -3.56      -4.41       4.49    -740.00     -34.27       7.71       6.04  448421.00
2000 07 15 02 39 00 000       -3.17      -4.29       5.00    -737.60     -33.17       3.05       7.00  336600.00
2000 07 15 02 40 00 000       -2.73      -4.52       5.07    -738.90     -32.29       4.22       6.36  291897.00
2000 07 15 02 41 00 000       -2.76      -4.56       4.90    -736.60     -31.79       7.22       6.20  298696.00
2000 07 15 02 42 00 000       -3.10      -4.22       5.04    -749.40     -35.17       6.07       5.83  276935.00
2000 07 15 02 43 00 000       -2.99      -4.62       4.86    -752.30     -37.44       5.14       5.91  297599.00
2000 07 15 02 44 00 000       -3.00      -4.53       4.99    -746.90     -30.72       8.01       5.95  243783.00
2000 07 15 02 45 00 000       -3.79      -4.32       4.82    -744.20     -43.24       6.70       5.85  242130.00
2000 07 15 02 46 00 000       -4.70      -4.72       3.84    -742.50     -47.99       4.66       6.11  201289.00
2000 07 15 02 47 00 000       -4.79      -4.96       3.81    -738.90     -48.44       2.52       5.89  278301.00
2000 07 15 02 48 00 000       -5.30      -5.24       2.93    -738.30     -49.99       4.67       5.93  266374.00
2000 07 15 02 49 00 000       -5.20      -5.01       3.51    -732.20     -53.37       6.45       5.51  385744.00
2000 07 15 02 50 00 000       -5.66      -4.99       3.21    -738.40     -47.77       3.48       4.88  383474.00
2000 07 15 02 51 00 000       -5.49      -5.40       2.86    -755.30     -49.77       7.67       4.96  317512.00
2000 07 15 02 52 00 000       -5.51      -5.45       2.56    -745.30     -50.56       5.06       7.04  239452.00
2000 07 15 02 53 00 000       -5.54      -5.48       2.38    -754.20     -51.16       5.14       5.54  263485.00
2000 07 15 02 54 00 000       -5.58      -5.56       1.97    -740.10     -52.36      10.48       6.31  305852.00
2000 07 15 02 55 00 000       -5.43      -5.56       2.50    -736.20     -64.51       1.02       8.02  247731.00
2000 07 15 02 56 00 000       -5.10      -5.74       3.14    -752.20     -64.41       3.67       5.94  241055.00
2000 07 15 02 57 00 000       -5.84      -5.87       0.95    -727.50     -59.52       5.94       7.10  205728.00
2000 07 15 02 58 00 000       -6.47      -5.34      -0.74    -724.60     -46.16       9.95       4.94  320240.00
2000 07 15 02 59 00 000       -6.31      -4.89      -1.44    -731.50     -42.76       9.81       5.46  450173.00
2000 07 15 03 00 00 000       -5.82      -5.12       0.65    -708.20     -35.58       5.35       3.77  428505.00
2000 07 15 03 01 00 000       -5.51      -5.14       0.91    -722.90     -31.97      11.51       3.77  177470.00
2000 07 15 03 02 00 000       -5.34      -5.21       1.66    -713.90     -30.30      13.50       3.28  337336.00
